Artist,TicketMaster URL
Lil Uzi Vert,http://www.ticketmaster.com/artist/2119391
A$ap Mob,http://www.ticketmaster.com/artist/1756359
Kodak Black,http://www.ticketmaster.com/artist/2241265
Travis Scott,http://www.ticketmaster.com/artist/1788754
Gucci Mane,http://www.ticketmaster.com/artist/1016779
Meek Mill,http://www.ticketmaster.com/artist/1599551
Sublime with Rome,http://www.ticketmaster.com/artist/1417095
21 Savage,http://www.ticketmaster.com/artist/2181837
Drake,http://www.ticketmaster.com/artist/1319371
2 Chainz,http://www.ticketmaster.com/artist/1615064
